Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005737~cytoplasm	112	30.76923076923077	0.02230570463567014	ANKRD13B, TES, SMC5, ALDH1L2, PTPDC1, NRBP2, RASSF1, RASSF3, CFL2, FTH1, FPGS, DZIP1L, TRIM27, PPFIA4, FBXO9, TNS1, CDKL2, KRT8, FRS3, MID2, MYL5, SHTN1, EML5, MOB3C, KATNAL1, DGKQ, DDIT4, ULK2, UPRT, DENND6A, NEIL1, TRIM11, CARD11, ZNF397, PXK, HELZ2, DEAF1, VASP, MOAP1, PLK3, XBP1, SMAD4, SRMS, TNK1, EIF2AK2, TDRD7, SPART, MFHAS1, CCDC88A, AGO4, BHLHE40, CAPRIN2, CDC42SE2, KIF12, ADM, LIMD1, PKD1, PRSS21, UCHL1, PPP3CC, IMPA1, AIFM2, CASP3, ENC1, DGCR8, LRRFIP1, ABCD1, PARP4, SPHK2, VAV2, ANO1, PTP4A2, MED22, CREB3, PTP4A3, NPEPL1, KIFC2, PITPNM1, GAN, IRF5, DBN1, PAFAH1B2, TRIM56, KDM3A, RNF34, TP53I13, TRIM16L, ADCY4, ADCY3, CBS, WHAMM, MICA, SNCA, CCDC57, PLEKHA2, CDC42BPG, TXNRD1, BNIP3, SPRY4, DDHD2, CDC42BPB, SPATA2L, VEGFA, ITCH, DBNDD2, SPRY2, PTPN9, KRAS, EPPK1, TACC1, PKN1, SIPA1	337	5771	20647	1.1890332661979701	0.9996358490114362	0.7023262087645985	0.6983243500251991
GOTERM_CC_DIRECT	GO:0030018~Z disc	7	1.9230769230769231	0.02401115243639653	PDLIM2, CFL2, KRT8, SLC2A1, SYNPO, SYNC, PDLIM7	337	136	20647	3.153451736777797	0.9998026922525108	0.7023262087645985	0.6983243500251991
GOTERM_CC_DIRECT	GO:0005783~endoplasmic reticulum	29	7.967032967032966	0.02818667143603845	GOLT1A, CTSZ, SEMA3B, LPCAT1, PLOD2, SNX10, AGPAT2, PKD1, APH1B, GPAT4, STBD1, MAN1A1, C19ORF12, CLCC1, TMED5, CERS5, XBP1, SPHK2, BNIP3, TPBG, CGRRF1, LEMD2, VEGFA, CCDC88A, CREB3, SELENOS, P4HA1, CERS2, CDS2	337	1175	20647	1.512123240103542	0.9999561892422736	0.7610401287730381	0.7567037177828784
GOTERM_CC_DIRECT	GO:0098944~postsynaptic recycling endosome membrane	2	0.5494505494505495	0.03228304821200639	ABHD17A, RAB11FIP3	337	2	20647	61.26706231454006	0.9999900534968854	0.767815989732691	0.7634409698481743
GOTERM_CC_DIRECT	GO:0005769~early endosome	11	3.021978021978022	0.03281264913387569	ANKRD13B, PTP4A2, PHETA2, PXK, PTP4A3, ITCH, LRP1, TRIM27, RAB17, ATP9A, C1ORF210	337	313	20647	2.1531555446004496	0.9999917922629817	0.767815989732691	0.7634409698481743
GOTERM_CC_DIRECT	GO:0005654~nucleoplasm	81	22.252747252747252	0.036589814508185665	MUS81, PDCD7, CHD7, CEP164, SMC5, CELSR1, LIMD1, ALDH1L2, DCAF4, PTPDC1, CDC73, LIMD2, UCHL1, SNAPC2, ZMIZ2, CASP3, SCMH1, ENC1, DGCR8, TRIM27, ACADS, EID2B, TGIF1, CDKL2, KLF12, PARP4, SPHK2, KRT8, HUS1, TRAF2, CGRRF1, SAP30, ANO1, CREB3, HOXB2, TRIB3, UPRT, NEIL1, BCORL1, TRIM11, KDM7A, TRIM56, L3MBTL1, KDM3A, RNF34, CBFB, CTBP1, HELZ2, MNT, MED30, DEAF1, ATXN7, TNRC18, RAB11FIP2, ZNF224, RAB11FIP3, PDLIM7, PLK3, XBP1, KDM4B, SMAD4, FKRP, TXNRD1, BNIP3, ATP2B1, SMARCA1, PLEKHA8, KLF8, ITCH, NOL4L, SHLD3, SHLD2, CAPRIN2, RPA4, PTPN9, SPIRE1, PKN1, BCOR, RBAK, RCOR1, TNRC6A	337	4076	20647	1.2175250361819787	0.9999979215338246	0.7743630203399371	0.7699506954377152
GOTERM_CC_DIRECT	GO:0055038~recycling endosome membrane	6	1.6483516483516485	0.03750476166888584	ABHD17A, RAB17, LZTR1, RAB11FIP2, RAB11FIP3, ATP9A	337	113	20647	3.253118352984428	0.9999985109648042	0.7743630203399371	0.7699506954377152
GOTERM_CC_DIRECT	GO:0005768~endosome	11	3.021978021978022	0.04157746874867408	ACE, SLC6A9, SNX25, DGKQ, SNX10, PKN1, TRIM27, RAB17, RAB11FIP2, RAB11FIP3, ATP9A	337	326	20647	2.0672935136808	0.9999996638661772	0.7960106362952906	0.7914749631540069
GOTERM_CC_DIRECT	GO:0043231~intracellular membrane-bounded organelle	25	6.868131868131869	0.04308889484219522	ANKRD13B, EIF5A2, CEP164, CTSZ, FAM241B, SNX25, CLCC1, RAB11FIP2, RAB11FIP3, IQSEC1, SPHK2, ATP2B1, SMARCA1, CGRRF1, SPART, SLC7A5, ITCH, PITPNM1, P4HA1, ABHD17A, UPRT, DSG2, DENND6A, SEC24D, TNRC6A	337	1014	20647	1.5105291497667668	0.9999998068344226	0.7960106362952906	0.7914749631540069
GOTERM_CC_DIRECT	GO:0035861~site of double-strand break	5	1.3736263736263736	0.05551189213727946	SHLD3, SHLD2, RPA4, HUS1, SMC5	337	88	20647	3.4810830860534128	0.9999999980322523	0.962217322947684	0.9567346031588083
GOTERM_CC_DIRECT	GO:0016327~apicolateral plasma membrane	3	0.8241758241758242	0.057605563954465554	CLDN7, KRT8, EPPK1	337	24	20647	7.658382789317508	0.9999999990970112	0.962217322947684	0.9567346031588083
GOTERM_CC_DIRECT	GO:0032154~cleavage furrow	4	1.098901098901099	0.060309917677632614	PITPNM1, SPIRE1, PKN1, RAB11FIP3	337	55	20647	4.455786350148368	0.9999999996706863	0.962217322947684	0.9567346031588083
GOTERM_CC_DIRECT	GO:0015629~actin cytoskeleton	9	2.4725274725274726	0.07129361673295437	VASP, CFL2, SHLD2, SPRY2, SYNPO, DBN1, PDLIM7, LIMD2, SNCA	337	267	20647	2.065181875771013	0.9999999999946871	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	15	4.1208791208791204	0.07247962455104678	VASP, FAAH, LRP1, CDC42BPG, CDC42BPB, GAN, DGKQ, ENC1, SPIRE1, SPRY2, EPPK1, LRRFIP1, DBN1, TNS1, CDC42SE2	337	557	20647	1.6499208881833052	0.9999999999966074	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0001891~phagocytic cup	3	0.8241758241758242	0.07565104169508159	RAB11FIP2, PEAR1, CDC42SE2	337	28	20647	6.5643281051292925	0.9999999999989804	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0017053~transcriptional repressor complex	4	1.098901098901099	0.08015850495533819	CTBP2, CTBP1, ZNF224, RCOR1	337	62	20647	3.952713697712262	0.9999999999998167	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0055037~recycling endosome	6	1.6483516483516485	0.08080226905361755	PHETA2, DENND6A, RAB17, RAB11FIP3, ATP9A, C1ORF210	337	141	20647	2.607109034661279	0.9999999999998566	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0098978~glutamatergic synapse	12	3.296703296703297	0.0893395811723787	LAMA5, PPP3CC, CTBP2, ABHD17A, CTBP1, DGKQ, DVL1, DGCR8, CAMK1, ATP2B1, RAB17, DBN1	337	426	20647	1.7258327412546497	0.9999999999999946	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0005813~centrosome	15	4.1208791208791204	0.08955403215013111	CDKL2, PLK3, SMAD4, CCDC57, CEP164, SLC1A4, SNX10, CCDC88A, KATNAL1, TRAF5, CAPRIN2, ACADS, NINL, RAB11FIP3, MAP3K11	337	576	20647	1.5954964144411476	0.999999999999995	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0005802~trans-Golgi network	7	1.9230769230769231	0.09042691123035598	PHETA2, ATP8B2, GOLT1A, CORO7, ATP9A, PLEKHA8, CHST3	337	190	20647	2.257207558956739	0.9999999999999964	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0098802~plasma membrane receptor complex	2	0.5494505494505495	0.0937649192637789	TRAF5, TRAF2	337	6	20647	20.422354104846686	0.999999999999999	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0098591~external side of apical plasma membrane	2	0.5494505494505495	0.0937649192637789	SLC7A5, SLC38A1	337	6	20647	20.422354104846686	0.999999999999999	1.0	0.9971428571428571
GOTERM_CC_DIRECT	GO:0005925~focal adhesion	12	3.296703296703297	0.09787843900577811	VASP, MRC2, TES, SDC4, LRP1, SPRY4, KRAS, SLC4A2, LIMD1, HSPG2, PDLIM7, TNS1	337	434	20647	1.694020156162398	0.9999999999999998	1.0	0.9971428571428571
